repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-io,5911ca64d08c110bc7a612dbef2f278d5dd2a9ab,ad84630f10fa4a2ce6bfaff0b32b2bf071db0eee,master,1634001159,0,0,0,0,0,0,0,0,1,0,0,0,0,6330,6331,6331,6330,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,ad84630f10fa4a2ce6bfaff0b32b2bf071db0eee,cbcb88af9ab389b595b06f3a60111192e56c09fe,master,1633997605,0,0,0,0,0,0,0,0,0,0,0,0,0,6330,6330,6330,6330,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,cbcb88af9ab389b595b06f3a60111192e56c09fe,8da2830deb11e2d3026ebee6691e77bdb933ae0f,master,1633997569,0,0,0,0,0,0,0,0,0,1,0,0,0,6330,6331,6330,6331,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,8da2830deb11e2d3026ebee6691e77bdb933ae0f,299be6383ddef3472aed05427ad6dfba64abc17e,master,1633997340,0,0,0,0,0,0,0,0,1,9,0,0,0,6330,6340,6331,6339,7164,7164,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,299be6383ddef3472aed05427ad6dfba64abc17e,496d9dae44d420889690e526e4d3968e5571c560,master,1633276592,4,0,12,50,6,0,0,0,1,0,0,0,0,6322,6345,6339,6328,7164,7098,1,0,3,2,0,0,282,3,13,6,285,19,
apache/commons-io,496d9dae44d420889690e526e4d3968e5571c560,ccbf29952e16a304164b9d93d54d26dd79a6eb1c,master,1633268510,9,3,0,0,7,3,0,0,9,0,0,0,0,6310,6335,6328,6317,7104,7095,0,0,2,0,0,0,17,0,14,0,21,14,
apache/commons-io,ccbf29952e16a304164b9d93d54d26dd79a6eb1c,c819ca0c3fcdbb6641faca23b7920d1a5bfb917d,master,1633201718,0,0,0,0,0,0,0,0,0,0,0,0,0,6317,6317,6317,6317,7102,7102,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-io,c819ca0c3fcdbb6641faca23b7920d1a5bfb917d,e90866fcd5de46216f30def7704b8aaaf0a801b0,master,1633190370,0,0,0,0,0,0,0,0,0,9,0,0,0,6317,6326,6317,6326,7102,7102,0,0,1,24,0,0,1,226,1,258,306,309,
apache/commons-io,e90866fcd5de46216f30def7704b8aaaf0a801b0,25305df79ead0dbedc52ee6fa334dfb27c1a4852,master,1632854261,38,0,0,0,24,1,0,0,1,0,0,0,0,6287,6354,6326,6315,7102,7069,0,0,5,5,0,0,132,61,45,10,202,55,
apache/commons-io,25305df79ead0dbedc52ee6fa334dfb27c1a4852,f93174149c61b78c7a3bcd7f669a18073bc20439,master,1632850411,1,0,0,0,1,0,0,0,11,0,0,0,0,6303,6316,6315,6304,7093,7092,0,0,5,0,0,0,8,0,14,0,8,14,
apache/commons-io,f93174149c61b78c7a3bcd7f669a18073bc20439,a94056597c1152386a9b5bdff9fa7f585fa42c70,master,1632849673,0,0,0,0,0,0,0,0,0,9,0,0,0,6304,6313,6304,6313,7093,7093,0,0,1,0,0,0,5,0,1,0,5,1,
apache/commons-io,a94056597c1152386a9b5bdff9fa7f585fa42c70,4163ab3c377bdb1fa39a562242250df2055f04eb,master,1632838491,0,0,0,0,0,0,0,0,9,0,0,0,0,6304,6313,6313,6304,7093,7093,0,0,0,0,0,0,0,0,0,0,11,11,
apache/commons-io,4163ab3c377bdb1fa39a562242250df2055f04eb,46779065d258bc6429d330843267f1ca3d0ce99d,master,1632788295,0,0,0,0,0,0,0,0,0,2,0,0,0,6304,6306,6304,6306,7093,7093,0,0,0,0,0,0,0,0,0,0,0,0,
apache/commons-io,46779065d258bc6429d330843267f1ca3d0ce99d,e3cac4756acac4a961955f0312ad545ccd569e63,master,1632772764,0,0,0,0,0,0,0,0,0,9,0,0,0,6306,6315,6306,6315,7093,7093,0,0,0,1,0,0,0,3,0,4,3,4,
apache/commons-io,e3cac4756acac4a961955f0312ad545ccd569e63,dd9e526625d9b98bd56e1401c95faf645982c86b,master,1632766883,0,0,0,0,0,0,0,0,9,0,0,0,0,6306,6315,6315,6306,7093,7093,0,0,0,2,0,0,0,68,0,62,68,62,
apache/commons-io,dd9e526625d9b98bd56e1401c95faf645982c86b,ea11270dbe18ea9bd2bfe5eb233b93dce904e546,master,1632752563,34,2,0,0,34,2,0,0,2,1,0,0,0,6270,6341,6306,6305,7093,7059,0,0,2,1,0,0,85,65,86,8,153,94,
apache/commons-io,ea11270dbe18ea9bd2bfe5eb233b93dce904e546,010299c21811b11a41c8d5bd73023f75eb29058e,master,1632683602,0,0,0,0,0,0,0,0,1,2,0,0,0,6304,6307,6305,6306,7093,7093,0,0,0,1,0,0,0,0,0,2,0,2,
apache/commons-io,010299c21811b11a41c8d5bd73023f75eb29058e,3ca55e92e8493429317554ff220e71bf0125cf7f,master,1632681995,0,0,0,0,0,0,0,0,2,9,0,0,0,6304,6315,6306,6313,7093,7093,0,0,1,2,0,0,22,35,2,2,60,4,
apache/commons-io,3ca55e92e8493429317554ff220e71bf0125cf7f,7b4a50a3612fa04300c7427f94917d9eb85b039d,master,1632678148,0,0,0,0,0,0,0,0,0,2,0,0,0,6313,6315,6313,6315,7093,7093,0,0,1,0,0,0,3,0,0,0,6,0,
apache/commons-io,7b4a50a3612fa04300c7427f94917d9eb85b039d,d9c1ddea713a7eb6c990c8996c850c8758894759,master,1632677509,0,0,0,0,0,0,0,0,9,0,0,0,0,6306,6315,6315,6306,7093,7093,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,d9c1ddea713a7eb6c990c8996c850c8758894759,5f22162d13b5d4972181491e6bd943b334e09cf7,master,1632674687,13,1,0,0,13,2,0,0,0,0,0,0,0,6293,6319,6306,6306,7093,7081,0,0,2,2,0,0,70,12,76,5,85,81,
